YearMonth,Primary Type,Count
2016-12,OTHER,1383
2016-12,ROBBERY,1089
2016-12,THEFT,4923
2016-12,TRESPASSING,465
2016-12,VANDALISM,2102
2016-12,VEHICLE THEFT,1106
2017-01,ARSON,38
2017-01,ASSAULT,1374
2017-01,BATTERY,3568
2017-01,BURGLARY,1274
2017-01,HOMICIDE,55
2017-01,NARCOTICS,985
2017-01,OTHER,1569
2017-01,ROBBERY,1076
2017-01,THEFT,4957
2017-01,TRESPASSING,573
2017-01,VANDALISM,2425
2017-01,VEHICLE THEFT,1173
2017-02,ARSON,40
2017-02,ASSAULT,1295
2017-02,BATTERY,3415
2017-02,BURGLARY,1013
2017-02,HOMICIDE,50
2017-02,NARCOTICS,956
2017-02,OTHER,1390
2017-02,ROBBERY,787
2017-02,THEFT,4398
2017-02,TRESPASSING,527
2017-02,VANDALISM,2048
2017-02,VEHICLE THEFT,878
2017-03,ARSON,27
2017-03,ASSAULT,1486
2017-03,BATTERY,3859
2017-03,BURGLARY,931
2017-03,HOMICIDE,42
2017-03,NARCOTICS,1127
2017-03,OTHER,1525
2017-03,ROBBERY,783
2017-03,THEFT,4501
2017-03,TRESPASSING,548
2017-03,VANDALISM,2238
2017-03,VEHICLE THEFT,801
2017-04,ARSON,47
2017-04,ASSAULT,1638
2017-04,BATTERY,4101
2017-04,BURGLARY,968
2017-04,HOMICIDE,49
2017-04,NARCOTICS,1043
2017-04,OTHER,1582
2017-04,ROBBERY,851
2017-04,THEFT,4803
2017-04,TRESPASSING,548
2017-04,VANDALISM,2451
2017-04,VEHICLE THEFT,837
2017-05,ARSON,38
2017-05,ASSAULT,1853
2017-05,BATTERY,4563
2017-05,BURGLARY,1061
2017-05,HOMICIDE,57
2017-05,NARCOTICS,1119
2017-05,OTHER,1634
2017-05,ROBBERY,903
2017-05,THEFT,5338
2017-05,TRESPASSING,631
2017-05,VANDALISM,2518
2017-05,VEHICLE THEFT,831
2017-06,ARSON,46
2017-06,ASSAULT,1857
2017-06,BATTERY,4652
2017-06,BURGLARY,1090
2017-06,HOMICIDE,87
2017-06,NARCOTICS,865
2017-06,OTHER,1415
2017-06,ROBBERY,982
2017-06,THEFT,5793
2017-06,TRESPASSING,617
2017-06,VANDALISM,2582
2017-06,VEHICLE THEFT,1013
2017-07,ARSON,34
2017-07,ASSAULT,1821
2017-07,BATTERY,4702
2017-07,BURGLARY,1206
2017-07,HOMICIDE,76
2017-07,NARCOTICS,1004
2017-07,OTHER,1531
2017-07,ROBBERY,1004
2017-07,THEFT,6091
2017-07,TRESPASSING,622
2017-07,VANDALISM,2745
2017-07,VEHICLE THEFT,992
2017-08,ARSON,43
2017-08,ASSAULT,1740
2017-08,BATTERY,4424
2017-08,BURGLARY,1153
2017-08,HOMICIDE,59
2017-08,NARCOTICS,995
2017-08,OTHER,1459
2017-08,ROBBERY,1174
2017-08,THEFT,6464
2017-08,TRESPASSING,598
2017-08,VANDALISM,2685
2017-08,VEHICLE THEFT,951
2017-09,ARSON,33
2017-09,ASSAULT,1786
2017-09,BATTERY,4398
2017-09,BURGLARY,1040
2017-09,HOMICIDE,61
2017-09,NARCOTICS,1027
2017-09,OTHER,1262
2017-09,ROBBERY,1002
2017-09,THEFT,5527
2017-09,TRESPASSING,539
2017-09,VANDALISM,2414
2017-09,VEHICLE THEFT,915
2017-10,ARSON,39
2017-10,ASSAULT,1628
2017-10,BATTERY,4171
2017-10,BURGLARY,1199
2017-10,HOMICIDE,60
2017-10,NARCOTICS,846
2017-10,OTHER,1345
2017-10,ROBBERY,1119
2017-10,THEFT,5735
2017-10,TRESPASSING,571
2017-10,VANDALISM,2439
2017-10,VEHICLE THEFT,983
2017-11,ARSON,38
2017-11,ASSAULT,1454
2017-11,BATTERY,3724
2017-11,BURGLARY,1083
2017-11,HOMICIDE,41
2017-11,NARCOTICS,927
2017-11,OTHER,1295
2017-11,ROBBERY,1128
2017-11,THEFT,5383
2017-11,TRESPASSING,533
2017-11,VANDALISM,2335
2017-11,VEHICLE THEFT,936
2017-12,ARSON,21
2017-12,ASSAULT,1374
2017-12,BATTERY,3662
2017-12,BURGLARY,983
2017-12,HOMICIDE,39
2017-12,NARCOTICS,789
2017-12,OTHER,1263
2017-12,ROBBERY,1072
2017-12,THEFT,5396
2017-12,TRESPASSING,507
2017-12,VANDALISM,2165
2017-12,VEHICLE THEFT,1070
2018-01,ARSON,26
2018-01,ASSAULT,1416
2018-01,BATTERY,3590
2018-01,BURGLARY,952
2018-01,HOMICIDE,43
2018-01,NARCOTICS,1084
2018-01,OTHER,1338
2018-01,ROBBERY,898
2018-01,THEFT,4856
2018-01,TRESPASSING,580
2018-01,VANDALISM,1931
2018-01,VEHICLE THEFT,1007
2018-02,ARSON,14
2018-02,ASSAULT,1355
2018-02,BATTERY,3200
2018-02,BURGLARY,698
2018-02,HOMICIDE,43
2018-02,NARCOTICS,996
2018-02,OTHER,1263
2018-02,ROBBERY,635
2018-02,THEFT,3900
2018-02,TRESPASSING,548
2018-02,VANDALISM,1672
2018-02,VEHICLE THEFT,626
2018-03,ARSON,32
2018-03,ASSAULT,1620
2018-03,BATTERY,3958
2018-03,BURGLARY,823
2018-03,HOMICIDE,34
2018-03,NARCOTICS,1283
2018-03,OTHER,1472
2018-03,ROBBERY,738
2018-03,THEFT,4751
2018-03,TRESPASSING,586
2018-03,VANDALISM,2337
2018-03,VEHICLE THEFT,736
2018-04,ARSON,27
2018-04,ASSAULT,1640
2018-04,BATTERY,3803
2018-04,BURGLARY,941
2018-04,HOMICIDE,43
2018-04,NARCOTICS,1102
2018-04,OTHER,1510
2018-04,ROBBERY,693
2018-04,THEFT,4999
2018-04,TRESPASSING,586
2018-04,VANDALISM,2240
2018-04,VEHICLE THEFT,752
2018-05,ARSON,33
2018-05,ASSAULT,2037
2018-05,BATTERY,4981
2018-05,BURGLARY,975
2018-05,HOMICIDE,54
2018-05,NARCOTICS,1177
2018-05,OTHER,1608
2018-05,ROBBERY,802
2018-05,THEFT,5738
2018-05,TRESPASSING,599
2018-05,VANDALISM,2671
2018-05,VEHICLE THEFT,831
2018-06,ARSON,36
2018-06,ASSAULT,1880
2018-06,BATTERY,4643
2018-06,BURGLARY,1064
2018-06,HOMICIDE,57
2018-06,NARCOTICS,1084
2018-06,OTHER,1514
2018-06,ROBBERY,857
2018-06,THEFT,6037
2018-06,TRESPASSING,591
2018-06,VANDALISM,2589
2018-06,VEHICLE THEFT,816
2018-07,ARSON,41
2018-07,ASSAULT,1944
2018-07,BATTERY,4887
2018-07,BURGLARY,1141
2018-07,HOMICIDE,63
2018-07,NARCOTICS,1196
2018-07,OTHER,1573
2018-07,ROBBERY,876
2018-07,THEFT,6168
2018-07,TRESPASSING,597
2018-07,VANDALISM,2725
2018-07,VEHICLE THEFT,856
2018-08,ARSON,38
2018-08,ASSAULT,1849
2018-08,BATTERY,4615
2018-08,BURGLARY,1213
2018-08,HOMICIDE,59
2018-08,NARCOTICS,1278
2018-08,OTHER,1506
2018-08,ROBBERY,944
2018-08,THEFT,6530
2018-08,TRESPASSING,598
2018-08,VANDALISM,2636
2018-08,VEHICLE THEFT,928
2018-09,ARSON,32
2018-09,ASSAULT,1814
2018-09,BATTERY,4352
2018-09,BURGLARY,1052
2018-09,HOMICIDE,55
2018-09,NARCOTICS,1176
2018-09,OTHER,1323
2018-09,ROBBERY,768
2018-09,THEFT,5786
2018-09,TRESPASSING,606
2018-09,VANDALISM,2287
2018-09,VEHICLE THEFT,905
2018-10,ARSON,36
2018-10,ASSAULT,1718
2018-10,BATTERY,4304
2018-10,BURGLARY,1004
2018-10,HOMICIDE,58
2018-10,NARCOTICS,1050
2018-10,OTHER,1388
2018-10,ROBBERY,837
2018-10,THEFT,5670
2018-10,TRESPASSING,562
2018-10,VANDALISM,2520
2018-10,VEHICLE THEFT,794
2018-11,ARSON,26
2018-11,ASSAULT,1543
2018-11,BATTERY,3637
2018-11,BURGLARY,913
2018-11,HOMICIDE,47
2018-11,NARCOTICS,1160
2018-11,OTHER,1430
2018-11,ROBBERY,787
2018-11,THEFT,5162
2018-11,TRESPASSING,501
2018-11,VANDALISM,1969
2018-11,VEHICLE THEFT,818
2018-12,ARSON,32
2018-12,ASSAULT,1591
2018-12,BATTERY,3862
2018-12,BURGLARY,971
2018-12,HOMICIDE,44
2018-12,NARCOTICS,1007
2018-12,OTHER,1346
2018-12,ROBBERY,846
2018-12,THEFT,5693
2018-12,TRESPASSING,555
2018-12,VANDALISM,2246
2018-12,VEHICLE THEFT,916
2019-01,ARSON,22
2019-01,ASSAULT,1459
2019-01,BATTERY,3526
2019-01,BURGLARY,797
2019-01,HOMICIDE,23
2019-01,NARCOTICS,1342
2019-01,OTHER,1432
2019-01,ROBBERY,658
2019-01,THEFT,4559
2019-01,TRESPASSING,563
2019-01,VANDALISM,1794
2019-01,VEHICLE THEFT,707
2019-02,ARSON,29
2019-02,ASSAULT,1420
2019-02,BATTERY,3344
2019-02,BURGLARY,671
2019-02,HOMICIDE,25
2019-02,NARCOTICS,1273
2019-02,OTHER,1412
2019-02,ROBBERY,497
2019-02,THEFT,4392
2019-02,TRESPASSING,497
2019-02,VANDALISM,1717
2019-02,VEHICLE THEFT,654
2019-03,ARSON,28
2019-03,ASSAULT,1667
2019-03,BATTERY,4060
2019-03,BURGLARY,677
2019-03,HOMICIDE,37
2019-03,NARCOTICS,1409
2019-03,OTHER,1460
